Date,Close
7/22/2021 16:00:00,72.03
7/23/2021 16:00:00,70.33
7/26/2021 16:00:00,72.93
7/27/2021 16:00:00,71.78
7/28/2021 16:00:00,72.08
7/29/2021 16:00:00,69.63
7/30/2021 16:00:00,68.38
8/2/2021 16:00:00,68.12
8/3/2021 16:00:00,66.69
8/4/2021 16:00:00,66.24
8/5/2021 16:00:00,72.26
8/6/2021 16:00:00,71.84
8/9/2021 16:00:00,71.06
8/10/2021 16:00:00,70.12
8/11/2021 16:00:00,71.46
8/12/2021 16:00:00,73.21
8/13/2021 16:00:00,70.84
8/16/2021 16:00:00,67.86
8/17/2021 16:00:00,66
8/18/2021 16:00:00,66.5
8/19/2021 16:00:00,65.08
8/20/2021 16:00:00,67.65
8/23/2021 16:00:00,70.23
8/24/2021 16:00:00,73.55
8/25/2021 16:00:00,79.92
8/26/2021 16:00:00,80.84
8/27/2021 16:00:00,83.56
8/30/2021 16:00:00,81.54
8/31/2021 16:00:00,81.1
9/1/2021 16:00:00,81.65
9/2/2021 16:00:00,82.4
9/3/2021 16:00:00,81.65
9/7/2021 16:00:00,84.84
9/8/2021 16:00:00,82.59
9/9/2021 16:00:00,83.93
9/10/2021 16:00:00,79.81
9/13/2021 16:00:00,77.82
9/14/2021 16:00:00,75.07
9/15/2021 16:00:00,76.49
9/16/2021 16:00:00,76.07
9/17/2021 16:00:00,74.59
9/20/2021 16:00:00,73.37
9/21/2021 16:00:00,70.15
9/22/2021 16:00:00,73.74
9/23/2021 16:00:00,75.6
9/24/2021 16:00:00,75.72
9/27/2021 16:00:00,77.48
9/28/2021 16:00:00,75.55
9/29/2021 16:00:00,72.68
9/30/2021 16:00:00,72.46
10/1/2021 16:00:00,78.63
10/4/2021 16:00:00,75.18
10/5/2021 16:00:00,72.52
10/6/2021 16:00:00,71.62
10/7/2021 16:00:00,75.1
10/8/2021 16:00:00,73.09
10/11/2021 16:00:00,72.14
10/12/2021 16:00:00,74.21
10/13/2021 16:00:00,74.69
10/14/2021 16:00:00,75.83
10/15/2021 16:00:00,77.7
10/18/2021 16:00:00,77.3
10/19/2021 16:00:00,81.34
10/20/2021 16:00:00,78.19
10/21/2021 16:00:00,77.24
10/22/2021 16:00:00,74.63
10/25/2021 16:00:00,74.3
10/26/2021 16:00:00,74.19
10/27/2021 16:00:00,72.81
10/28/2021 16:00:00,73
10/29/2021 16:00:00,71.6
11/1/2021 16:00:00,74.89
11/2/2021 16:00:00,73
11/3/2021 16:00:00,72.73
11/4/2021 16:00:00,57.4
11/5/2021 16:00:00,61.76
11/8/2021 16:00:00,58.99
11/9/2021 16:00:00,59
11/10/2021 16:00:00,56.26
11/11/2021 16:00:00,58.19
11/12/2021 16:00:00,58.25
11/15/2021 16:00:00,56.28
11/16/2021 16:00:00,56.66
11/17/2021 16:00:00,54.96
11/18/2021 16:00:00,52.54
11/19/2021 16:00:00,52.42
11/22/2021 16:00:00,53.12
11/23/2021 16:00:00,51.81
11/24/2021 16:00:00,53.19
11/26/2021 13:00:00,52.77
11/29/2021 16:00:00,52.3
11/30/2021 16:00:00,51.23
12/1/2021 16:00:00,47.86
12/2/2021 16:00:00,50.26
12/3/2021 16:00:00,47.98
12/6/2021 16:00:00,50.74
12/7/2021 16:00:00,51.44
12/8/2021 16:00:00,52.94
12/9/2021 16:00:00,51.02
12/10/2021 16:00:00,48.96
12/13/2021 16:00:00,47.5
12/14/2021 16:00:00,46.65
12/15/2021 16:00:00,46.5
12/16/2021 16:00:00,44.65
12/17/2021 16:00:00,48.22
12/20/2021 16:00:00,46.92
12/21/2021 16:00:00,50.66
12/22/2021 16:00:00,50.87
12/23/2021 16:00:00,51.4
12/27/2021 16:00:00,50.81
12/28/2021 16:00:00,49.34
12/29/2021 16:00:00,49.07
12/30/2021 16:00:00,51.3
12/31/2021 16:00:00,51.85
1/3/2022 16:00:00,50.64
1/4/2022 16:00:00,49.77
1/5/2022 16:00:00,46.61
1/6/2022 16:00:00,46.86
1/7/2022 16:00:00,47.28
1/10/2022 16:00:00,46.96
1/11/2022 16:00:00,48.01
1/12/2022 16:00:00,47.44
1/13/2022 16:00:00,45.73
1/14/2022 16:00:00,44.45
1/18/2022 16:00:00,42.55
1/19/2022 16:00:00,43
1/20/2022 16:00:00,41.93
1/21/2022 16:00:00,40.92
1/24/2022 16:00:00,42.4
1/25/2022 16:00:00,43.19
1/26/2022 16:00:00,43.46
1/27/2022 16:00:00,42.35
1/28/2022 16:00:00,44.2
1/31/2022 16:00:00,45.61
2/1/2022 16:00:00,47.24
2/2/2022 16:00:00,45.67
2/3/2022 16:00:00,45.33
2/4/2022 16:00:00,44.99
2/7/2022 16:00:00,46.81
2/8/2022 16:00:00,48.11
2/9/2022 16:00:00,50.81
2/10/2022 16:00:00,50.13
2/11/2022 16:00:00,48.71
2/14/2022 16:00:00,47.81
2/15/2022 16:00:00,49.92
2/16/2022 16:00:00,50.06
2/17/2022 16:00:00,49.31
2/18/2022 16:00:00,47.27
2/22/2022 16:00:00,46.14
2/23/2022 16:00:00,47.24
2/24/2022 16:00:00,49.69
2/25/2022 16:00:00,50.24
2/28/2022 16:00:00,51.35
3/1/2022 16:00:00,50.82
3/2/2022 16:00:00,50.74
3/3/2022 16:00:00,48.28
3/4/2022 16:00:00,46.35
3/7/2022 16:00:00,40.91
3/8/2022 16:00:00,41.75
3/9/2022 16:00:00,43.83
3/10/2022 16:00:00,44.19
3/11/2022 16:00:00,42.67
3/14/2022 16:00:00,40.3
3/15/2022 16:00:00,42.23
3/16/2022 16:00:00,44.77
3/17/2022 16:00:00,44.91
3/18/2022 16:00:00,44.86
3/21/2022 16:00:00,43.31
3/22/2022 16:00:00,43.98
3/23/2022 16:00:00,42.21
3/24/2022 16:00:00,43.17
3/25/2022 16:00:00,41.52
3/28/2022 16:00:00,41.65
3/29/2022 16:00:00,44.35
3/30/2022 16:00:00,44
3/31/2022 16:00:00,42.42
4/1/2022 16:00:00,42.01
4/4/2022 16:00:00,44.24
4/5/2022 16:00:00,41.83
4/6/2022 16:00:00,39.02
4/7/2022 16:00:00,37.75
4/8/2022 16:00:00,36.96
4/11/2022 16:00:00,37.38
4/12/2022 16:00:00,36.86
4/13/2022 16:00:00,37.87
4/14/2022 16:00:00,37.27
4/18/2022 16:00:00,36.89
4/19/2022 16:00:00,38.9
4/20/2022 16:00:00,38.43
4/21/2022 16:00:00,37.04
4/22/2022 16:00:00,36.55
4/25/2022 16:00:00,38.35
4/26/2022 16:00:00,36.69
4/27/2022 16:00:00,36.76
4/28/2022 16:00:00,37.88
4/29/2022 16:00:00,36.57
5/2/2022 16:00:00,37.7
5/3/2022 16:00:00,38.53
5/4/2022 16:00:00,38.73
5/5/2022 16:00:00,36.56
5/6/2022 16:00:00,34.33
5/9/2022 16:00:00,31.87
5/10/2022 16:00:00,30.64
5/11/2022 16:00:00,29.29
5/12/2022 16:00:00,29.05
5/13/2022 16:00:00,31.31
5/16/2022 16:00:00,29.74
5/17/2022 16:00:00,30.92
5/18/2022 16:00:00,30.2
5/19/2022 16:00:00,30.67
5/20/2022 16:00:00,31.79
5/23/2022 16:00:00,31.18
5/24/2022 16:00:00,28.49
5/25/2022 16:00:00,29.61
5/26/2022 16:00:00,31.5
5/27/2022 16:00:00,32.28
5/31/2022 16:00:00,31.96
6/1/2022 16:00:00,31.88
6/2/2022 16:00:00,33.68
6/3/2022 16:00:00,32.91
6/6/2022 16:00:00,33.86
6/7/2022 16:00:00,34.3
6/8/2022 16:00:00,34.28
6/9/2022 16:00:00,33.9
6/10/2022 16:00:00,32.18
6/13/2022 16:00:00,28.5
6/14/2022 16:00:00,29
6/15/2022 16:00:00,30.25
6/16/2022 16:00:00,26.91
6/17/2022 16:00:00,27.4
6/21/2022 16:00:00,27.87
6/22/2022 16:00:00,28.34
6/23/2022 16:00:00,28.51
6/24/2022 16:00:00,32.12
6/27/2022 16:00:00,32.32
6/28/2022 16:00:00,31.79
6/29/2022 16:00:00,31.14
6/30/2022 16:00:00,30.42
7/1/2022 16:00:00,31.46
7/5/2022 16:00:00,32.31
7/6/2022 16:00:00,31.02
7/7/2022 16:00:00,31.32
7/8/2022 16:00:00,30.59
7/11/2022 16:00:00,29.33
7/12/2022 16:00:00,29.83
7/13/2022 16:00:00,30
7/14/2022 16:00:00,29.15
7/15/2022 16:00:00,31.4
7/18/2022 16:00:00,31.83
7/19/2022 16:00:00,33.07
7/20/2022 16:00:00,34.33
7/21/2022 16:00:00,34.65